model_type,table,regression,set_id,reasoning_combo,variant,threshold_tuning,dataset_size,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std
logistic,Table 2,LLM Engineered + Reasoning,set_06,E,,oof,4400,0.23079162179305,0.01723620339479761,0.6736156050733657,0.04093480083247287,0.18065943902281584,0.020166947787302974,0.23227378758437034,0.019529610325331428,0.22737341772151898,0.0205306349155805,0.8622727272727273,0.008695966577140463
logistic,Table 2,LLM Engineered + Reasoning,set_06,A+B,,oof,4400,0.28294153370038716,0.057103353475222336,0.6945361551867524,0.03829050561365734,0.21303111805763172,0.043458706300175544,0.2888095238095238,0.057431414286423205,0.2627215189873418,0.05775828831094979,0.8754545454545454,0.009922218160428667
logistic,Table 2,LLM Engineered + Reasoning,set_06,A+E,,oof,4400,0.2828230745756525,0.0480246203135185,0.7106370175630937,0.0451524758948881,0.22340605145592968,0.048774072831242465,0.311710291318987,0.048193489231651565,0.20718354430379748,0.04396839588345988,0.8879545454545456,0.004799707291350639
logistic,Table 2,LLM Engineered + Reasoning,set_06,B+E,,oof,4400,0.23202104273427082,0.012948242833880016,0.6658980119786975,0.04097698066555887,0.17824939270861542,0.01872988997319512,0.23390209714008342,0.017695324391537908,0.22731012658227848,0.014389376567019925,0.8627272727272727,0.008843216571974418
logistic,Table 2,LLM Engineered + Reasoning,set_06,A+B+E,,oof,4400,0.27931289936498,0.05082009757506875,0.7049840397041278,0.04470683545503779,0.21914630842925975,0.048406098899035827,0.2735433852214723,0.04886386049232478,0.30575949367088606,0.061916851688317544,0.8647727272727271,0.00934309308686111
logistic,Table 2,LLM Engineered Only,set_07,,,oof,4400,0.22114614467315588,0.027737208594572512,0.6521578373156972,0.03368020502881507,0.17270855768703758,0.016287905077190547,0.23902697174249726,0.02839205025297362,0.17158227848101265,0.02955662320571258,0.8763636363636363,0.004842562671059666
logistic,Table 2,LLM Engineered + Reasoning,set_07,A,,oof,4400,0.26217286119129163,0.032283785580826264,0.6935256113056859,0.045633328048017015,0.20927114220556176,0.03583489572065649,0.2630781850721495,0.03017454186874244,0.26009493670886075,0.04349906577112966,0.8681818181818182,0.005378254348272361
logistic,Table 2,LLM Engineered + Reasoning,set_07,B,,oof,4400,0.21635403568534786,0.03253585737528089,0.6309588239433699,0.030948609373182365,0.16811184849123212,0.019140248713767367,0.24225236475457085,0.03143838735191878,0.1538607594936709,0.036787562948560205,0.8809090909090909,0.004276110845960613
logistic,Table 2,LLM Engineered + Reasoning,set_07,E,,oof,4400,0.230392520306879,0.027540052923152192,0.6512843591969689,0.04801798447734351,0.1757066858285472,0.0210215855492363,0.2272949542944783,0.025536555620709302,0.24481012658227846,0.03942870346112766,0.8574999999999999,0.004799707291350637
logistic,Table 2,LLM Engineered + Reasoning,set_07,A+B,,oof,4400,0.2537141664253573,0.04728326548477829,0.686144474223281,0.040847885106495826,0.2062084398652455,0.031734141487138406,0.2607168536273014,0.04645713373501019,0.22984177215189874,0.05042556437027322,0.8724999999999999,0.006563422308269849
logistic,Table 2,LLM Engineered + Reasoning,set_07,A+E,,oof,4400,0.2738511475116733,0.05154788099712119,0.7044855738327487,0.04886482723535028,0.22051271206827838,0.03458182474627924,0.27981805343251126,0.048588932729428484,0.25509493670886074,0.06538685368263028,0.8747727272727273,0.006484246644403248
logistic,Table 2,LLM Engineered + Reasoning,set_07,B+E,,oof,4400,0.22267358921448435,0.01217123612605326,0.6412047312052576,0.04292362615391687,0.17185659200763465,0.020627020768704638,0.2092547032597969,0.010723804329071975,0.300379746835443,0.02770851090676663,0.835,0.004734696967272661
logistic,Table 2,LLM Engineered + Reasoning,set_07,A+B+E,,oof,4400,0.26950294176554823,0.04712707675229746,0.6967546303621661,0.04623641288619619,0.21588328477653582,0.03364982171258381,0.29241594323974185,0.05008164974588154,0.2070886075949367,0.04362665160210231,0.8836363636363636,0.006571287406727703
logistic,Table 2,LLM Engineered Only,set_08,,,oof,4400,0.226576597648135,0.02324504743201366,0.664489350781855,0.014256691177402947,0.17894082880540343,0.01450751571101751,0.21543873388909568,0.021279086736991363,0.28775316455696204,0.043133224828676264,0.8418181818181818,0.006982859770789642
logistic,Table 2,LLM Engineered + Reasoning,set_08,A,,oof,4400,0.26674614218901815,0.034887466185020456,0.6982892437657043,0.033203470313690656,0.21597979129934824,0.036078963107945214,0.266530068362853,0.03172148996563371,0.27022151898734176,0.05588722277591034,0.8679545454545454,0.005102260072873553
logistic,Table 2,LLM Engineered + Reasoning,set_08,B,,oof,4400,0.2163086748671062,0.020341024465818154,0.6561349166735805,0.015761822243137335,0.17725586768760185,0.01457036767557291,0.23636087881370899,0.022817454847883833,0.16161392405063293,0.014714203042996057,0.8775000000000001,0.0031655427902691036
logistic,Table 2,LLM Engineered + Reasoning,set_08,E,,oof,4400,0.22799203232620013,0.018106764182797396,0.6641505806379289,0.024922408901045138,0.18725975275976375,0.021717284125366873,0.21019845806464738,0.016528572587877967,0.3484493670886076,0.04538998525110995,0.823409090909091,0.011263192448512604
logistic,Table 2,LLM Engineered + Reasoning,set_08,A+B,,oof,4400,0.2697908380767725,0.03330063845991202,0.6925436010564328,0.028940239129456834,0.21053588993027458,0.031995601777478136,0.27560234090926805,0.03318908128594687,0.25,0.03786905139658632,0.8734090909090909,0.006038786479811991
logistic,Table 2,LLM Engineered + Reasoning,set_08,A+E,,oof,4400,0.28260161665850136,0.05602981666211203,0.7051274962369032,0.03316206056194863,0.22317133107499823,0.03997724512225595,0.31195408734602464,0.053037063905113244,0.20718354430379748,0.05782084641722034,0.8884090909090909,0.005349364679972632
logistic,Table 2,LLM Engineered + Reasoning,set_08,B+E,,oof,4400,0.22621945407402472,0.022511183769984115,0.6563193837509285,0.025190344916048393,0.182817455481666,0.02023227643908214,0.20877011288103234,0.02158710545922921,0.34332278481012657,0.041589599186035144,0.8231818181818182,0.013107155322996543
logistic,Table 2,LLM Engineered + Reasoning,set_08,A+B+E,,oof,4400,0.2690044150597956,0.05550128306353996,0.6987719600153686,0.03225076910646507,0.21833506504645342,0.03998896942150452,0.28998611440348726,0.0555484358568878,0.20965189873417725,0.054247004913272105,0.8831818181818182,0.006945775813607334
logistic,Table 2,LLM Engineered Only,set_09,,,oof,4400,0.23590129920960606,0.009786896638741384,0.6623391582811834,0.029724928088227492,0.16881082942316805,0.012794262694940151,0.22544451213941746,0.009035446217006766,0.2903164556962025,0.019719633975008675,0.8463636363636364,0.00409090909090911
logistic,Table 2,LLM Engineered + Reasoning,set_09,A,,oof,4400,0.25564994517491185,0.024682484178376617,0.700673943122916,0.04251484070691686,0.20421488411281924,0.032732981573520614,0.2454196775758522,0.02345995614785201,0.30819620253164554,0.037991610151668485,0.8524999999999998,0.0066416541800920345
logistic,Table 2,LLM Engineered + Reasoning,set_09,B,,oof,4400,0.22084509426144364,0.01218898486456775,0.6557118363467739,0.03016655763444603,0.1662288660036111,0.012772009281555422,0.2120489485160495,0.012720900095549739,0.26512658227848107,0.010606507300513523,0.8450000000000001,0.0050616039662090976
logistic,Table 2,LLM Engineered + Reasoning,set_09,E,,oof,4400,0.22628674808303234,0.026593497359350866,0.6703444524941135,0.0452349074527006,0.17683955401011492,0.021096846445481137,0.21641847156285382,0.026768137931903177,0.2778164556962025,0.02689992551345423,0.8438636363636363,0.009922218160428672
logistic,Table 2,LLM Engineered + Reasoning,set_09,A+B,,oof,4400,0.2497411475719435,0.027689780975455155,0.6961013618261982,0.03841302713908163,0.20212849399678529,0.028612759047931723,0.23572472957041937,0.02525973970264165,0.3283544303797468,0.045029143654312,0.8440909090909091,0.0052519181855869785
logistic,Table 2,LLM Engineered + Reasoning,set_09,A+E,,oof,4400,0.278772219966399,0.04008445851361033,0.7104749548625926,0.04385261735898473,0.214891687283238,0.041055793574062784,0.31664927376073915,0.042350658335726946,0.18936708860759496,0.032829498891032566,0.8904545454545454,0.0045794185635476695
logistic,Table 2,LLM Engineered + Reasoning,set_09,B+E,,oof,4400,0.2193110398608594,0.025495976897286474,0.6621426373925394,0.04290677816903047,0.17253591262195572,0.01806342461853753,0.21039316039530762,0.026015271031371686,0.2651582278481013,0.024054047059468238,0.8436363636363635,0.00994821301283604
