model_type,table,regression,set_id,reasoning_combo,variant,threshold_tuning,dataset_size,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std
logistic,Table 2,LLM Engineered + Reasoning,set_02,A+E,,train,4400,0.23275415188855444,0.047785030553726265,0.6846567444620254,0.04791369872259009,0.2101177177063914,0.03870896461057402,0.24646145143422818,0.04252361891267534,0.20474683544303796,0.08479359370310734,0.8736363636363637,0.008843216571974418
logistic,Table 2,LLM Engineered + Reasoning,set_02,B+E,,train,4400,0.18885319468389475,0.021549371297484722,0.6337892127275637,0.04113620730570611,0.16429263815478068,0.02079073554371439,0.2049151242295401,0.045927741473820546,0.18433544303797467,0.06331091463209669,0.8506818181818183,0.04081175288509085
logistic,Table 2,LLM Engineered + Reasoning,set_02,A+B+E,,train,4400,0.2175449551125332,0.08027006327641119,0.6767891168723036,0.04487232984287426,0.20309964404614483,0.03716636337227205,0.23399076938574792,0.06771373548549767,0.18433544303797472,0.08263372676595733,0.8779545454545454,0.010077181489725142
logistic,Table 2,LLM Engineered Only,set_03,,,train,4400,0.18340385653402796,0.02374278460958449,0.6629578409454558,0.031803650352819665,0.17459187552367686,0.026567364174035785,0.19365931625466287,0.02277042024267876,0.16636075949367085,0.06385348279351252,0.8620454545454546,0.01898237547074644
logistic,Table 2,LLM Engineered + Reasoning,set_03,A,,train,4400,0.24412103997328125,0.04501625889650933,0.6922535262735268,0.04537738461114207,0.20841484947806044,0.038497164542099276,0.24709796396667638,0.03102318864527496,0.24981012658227847,0.10265729135348335,0.8670454545454545,0.008713767960309449
logistic,Table 2,LLM Engineered + Reasoning,set_03,B,,train,4400,0.18146510502777052,0.025796523454249747,0.6551976887079443,0.03350940953683078,0.17050241183379747,0.027101818566508826,0.18368663594470047,0.023795792808278385,0.1816772151898734,0.048386934863352084,0.8536363636363635,0.014630433581300993
logistic,Table 2,LLM Engineered + Reasoning,set_03,E,,train,4400,0.1985842522518511,0.017196674865701735,0.6670077536090171,0.04530181002659372,0.17704745531843016,0.03460541308835183,0.21810771100893186,0.032038840372804675,0.17648734177215192,0.06953760917582255,0.8661363636363637,0.01954281166064149
logistic,Table 2,LLM Engineered + Reasoning,set_03,A+B,,train,4400,0.23773733686826065,0.051481882293499676,0.6886435264858799,0.04140919010551475,0.2062587155131085,0.03783310272477299,0.2472696860594643,0.046280763627715604,0.21455696202531643,0.06615059559723503,0.8720454545454546,0.009022469655126913
logistic,Table 2,LLM Engineered + Reasoning,set_03,A+E,,train,4400,0.2357698847453215,0.06752330417079154,0.7047106998372288,0.047801190766752225,0.21407586140892548,0.04477809085188437,0.24751037857520813,0.055876715698500286,0.22990506329113924,0.11490828358145165,0.8715909090909092,0.01551458924170546
logistic,Table 2,LLM Engineered + Reasoning,set_03,B+E,,train,4400,0.19458388264962725,0.03038248792688442,0.6606845283387853,0.0456792433363936,0.1723167396798085,0.031235094022809044,0.21065298229956864,0.034772301490433546,0.16645569620253164,0.05530646145557842,0.8670454545454547,0.016639095652475566
logistic,Table 2,LLM Engineered + Reasoning,set_03,A+B+E,,train,4400,0.22862230182253093,0.07590820850701498,0.6991659931859305,0.04663184172468315,0.21042136555406338,0.04354541843609742,0.24294626609524048,0.06974636853452382,0.21727848101265823,0.1229796835403788,0.8731818181818183,0.01639832182504313
logistic,Table 2,LLM Engineered Only,set_04,,,train,4400,0.22117718877212367,0.012717842403395576,0.6539293039554986,0.011529582455028884,0.17065325071931414,0.014687563562061677,0.23353867916313414,0.02349082427541679,0.18939873417721523,0.028880808603500917,0.8699999999999999,0.009870023068458406
logistic,Table 2,LLM Engineered + Reasoning,set_04,A,,train,4400,0.26041377321813813,0.0553345288283779,0.6906132353594795,0.020684909078628244,0.20185532976307644,0.02164234779482022,0.27236212044391866,0.04952172517392991,0.23224683544303795,0.08508177259295721,0.8768181818181817,0.0075240660714758385
logistic,Table 2,LLM Engineered + Reasoning,set_04,B,,train,4400,0.21562639110798018,0.05377275332431836,0.644993492163672,0.018741416096068907,0.17065381523332385,0.01796613697545541,0.2350290971730252,0.057953157619220805,0.19430379746835444,0.09038896524274533,0.8702272727272728,0.019034006105645544
logistic,Table 2,LLM Engineered + Reasoning,set_04,E,,train,4400,0.21307031519640152,0.06289064420588768,0.6563811176496153,0.018102753526376057,0.1788294628829514,0.02027490820735476,0.22384850386993776,0.04690660887898409,0.20177215189873418,0.0875656642388852,0.8695454545454545,0.014665696186274255
logistic,Table 2,LLM Engineered + Reasoning,set_04,A+B,,train,4400,0.23987832661622938,0.043216579486207024,0.6857382359027087,0.016289022521537216,0.19800349736971184,0.01624964530683103,0.26960784313725494,0.03602324210214016,0.18417721518987343,0.07814341434962356,0.8818181818181816,0.013291083197466764
logistic,Table 2,LLM Engineered + Reasoning,set_04,A+E,,train,4400,0.2677995670631647,0.03271974827592378,0.7060495567743642,0.021385471983701783,0.20961839234956967,0.018746023399385536,0.28708899795856324,0.03721696655031805,0.22996835443037975,0.08015989568844616,0.8779545454545454,0.015886347379364795
