table,regression,set_id,reasoning_combo,variant,tuning,F0.5,F0.5_std,ROC-AUC,ROC-AUC_std,PR-AUC,PR-AUC_std,Prec,Prec_std,Rec,Rec_std,Acc,Acc_std
Table 2,LLM Engineered + Reasoning,set_06,A+B,,oof,0.2550645760565871,0.04188209568506905,0.7051809939908975,0.03271711722120051,0.20948163845399553,0.03524717178985377,0.246925298416256,0.04035561833238471,0.29550632911392405,0.05489367152824033,0.8554545454545455,0.009572472585751238
Table 2,LLM Engineered + Reasoning,set_06,A+E,,oof,0.25788713634747273,0.02973352644674174,0.7124441310258932,0.03699232502153968,0.2143989764927723,0.03827582932068037,0.24754738788719372,0.028582371435748502,0.31063291139240506,0.03988125299749917,0.8529545454545454,0.007027102197154697
Table 2,LLM Engineered + Reasoning,set_06,B+E,,oof,0.229135238430844,0.023862497749421452,0.6766264499527883,0.03341427451472998,0.17709065927391526,0.025287162898833534,0.22809188457711693,0.02516613938008709,0.23487341772151896,0.02625506871504726,0.8593181818181819,0.007272727272727255
Table 2,LLM Engineered + Reasoning,set_06,A+B+E,,oof,0.2581357347750319,0.02730901179780867,0.7100163634707012,0.03615612859770748,0.2152762644903054,0.03999484037406609,0.24139446894240968,0.025359101929017195,0.3586392405063291,0.04607181960905614,0.8409090909090908,0.007364478066372551
Table 2,LLM Engineered Only,set_07,,,oof,0.24922117957298884,0.050750132951804555,0.6587250740520156,0.026050829103937394,0.1931131337457995,0.03900087476251291,0.2508133135406827,0.05334754378530405,0.24484177215189867,0.045002136359051946,0.8654545454545455,0.0114902042361496
Table 2,LLM Engineered + Reasoning,set_07,A,,oof,0.2670320415078812,0.07403258522152338,0.7054872957211318,0.022834735144077502,0.23262261737522588,0.038351402004726275,0.3978936229462545,0.10389642377815397,0.11607594936708861,0.03488622292412683,0.905,0.004465200614633777
Table 2,LLM Engineered + Reasoning,set_07,B,,oof,0.23799906551958605,0.06591317815929414,0.6592479001228685,0.03351675015687774,0.19144129059362042,0.043382117658314845,0.3432797012424961,0.10555987000110373,0.10848101265822785,0.02667133965358396,0.9,0.007639880142714373
Table 2,LLM Engineered + Reasoning,set_07,E,,oof,0.2443662404685806,0.06887576622025109,0.6731415658729594,0.03966938131193107,0.19197858544315421,0.04370473840559381,0.27385690460751,0.0927343162310528,0.17664556962025318,0.034078855181086304,0.8804545454545455,0.014541902975496707
Table 2,LLM Engineered + Reasoning,set_07,A+B,,oof,0.2771352420775755,0.07212841479244006,0.7025709421767095,0.02159451280905775,0.23101520501304,0.038700443440130766,0.30063179140327123,0.07852822947976176,0.2120569620253164,0.05655271365343184,0.8845454545454545,0.01022979766811534
Table 2,LLM Engineered + Reasoning,set_07,A+E,,oof,0.27652550413699784,0.04016802773889082,0.7109920152222697,0.0325430273621563,0.23438803364696387,0.044220356679357586,0.2652550445896291,0.04131150806081365,0.3358544303797468,0.03713032819989631,0.8552272727272727,0.01402108801380653
Table 2,LLM Engineered + Reasoning,set_07,B+E,,oof,0.2441829510653569,0.05426939981387815,0.6685034255045117,0.04163568385637983,0.19244771855971177,0.046089947525370656,0.2576014259951511,0.06791647977442224,0.2069620253164557,0.028558263728299945,0.8722727272727273,0.01403949564680046
Table 2,LLM Engineered + Reasoning,set_07,A+B+E,,oof,0.2734715349673086,0.056712947721966916,0.7091532598196084,0.03155295938031207,0.23344340103795744,0.04326531460846813,0.2840725425704239,0.06443794383412399,0.23977848101265825,0.033855080560099275,0.8754545454545454,0.013457155766443154
Table 2,LLM Engineered Only,set_08,,,oof,0.25233071709288224,0.04238824003046866,0.6661983418916624,0.03277852893918277,0.18131286100742133,0.014307552083978686,0.2787595731324545,0.04690059767811289,0.1843354430379747,0.03628216655159855,0.8836363636363636,0.005640760748177672
Table 2,LLM Engineered + Reasoning,set_08,A,,oof,0.27287825475158317,0.025842773897822666,0.7074886493248155,0.035881504976135736,0.22461530872299879,0.0387810714260194,0.2637609924786527,0.025034383948066893,0.3182594936708861,0.03760628265054261,0.8586363636363636,0.006452304348444731
Table 2,LLM Engineered + Reasoning,set_08,B,,oof,0.2472782699305775,0.031908769259261276,0.6609369987969942,0.03236073561671009,0.1787674556521448,0.014986728780865759,0.2624132022810027,0.03215525698473539,0.20199367088607598,0.03281930886123512,0.8772727272727273,0.0041907020260422215
Table 2,LLM Engineered + Reasoning,set_08,E,,oof,0.24655073808735056,0.023123141460401918,0.6751794917646455,0.04166400590725258,0.18289677040076924,0.018066481937293166,0.25609323556542307,0.0316308942197068,0.2171835443037975,0.009675267414978974,0.8718181818181818,0.007687061147858068
Table 2,LLM Engineered + Reasoning,set_08,A+B,,oof,0.2669939095874156,0.017306086242873654,0.703232479426429,0.03206259504791835,0.2210243983988776,0.037887858198793214,0.2546875734017847,0.016917817253994466,0.33344936708860756,0.03359615052227083,0.8520454545454544,0.006795416539875476
